id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants_category,participants,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7,sources,notes,entities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Coordinates0,Latitude0,Longitude0,Coordinates1,Latitude1,Longitude1,Coordinates2,Latitude2,Longitude2,Coordinates3,Latitude3,Longitude3,Coordinates4,Latitude4,Longitude4,Coordinates5,Latitude5,Longitude5,Coordinates6,Latitude6,Longitude6,Coordinates7,Latitude7,Longitude7,Coordinates8,Latitude8,Longitude8,Coordinates9,Latitude9,Longitude9,Coordinates10,Latitude10,Longitude10,Coordinates11,Latitude11,Longitude11,Coordinates12,Latitude12,Longitude12,Coordinates13,Latitude13,Longitude13,Coordinates14,Latitude14,Longitude14,Coordinates15,Latitude15,Longitude15,Coordinates16,Latitude16,Longitude16,Coordinates17,Latitude17,Longitude17,Coordinates18,Latitude18,Longitude18
201990001,Canada,20,1990,North America,1,1,15.0,1.0,1990.0,15.0,1.0,1990.0,0.0,national,,1000s,unspecified,"political behavior, process",labor wage dispute,,,ignore,,,,,,,"1. great canadian train journeys into history; passenger rail system cut the times london , january 16 1990, tuesday, issue 63604., 427 words, from john best, ottawa;","canada s railway passenger system was finally cut by half yesterday, with 18 of 38 routes run by via rail, the government owned passenger service, being eliminated in terms of an earlier decision... as the canadian made its last run to vancouver, where it is to arrive tomorrow, thousands of people gathered at stations along the way to protest against the cuts, which will leave entire regions without services. the train.. carried 539,000 passengers last year but lost millions of dollars. the government announced the passenger service cuts last october, saying they were necessary to trim via s dollars can560 million pounds 280 million annual, taxpayer financed operating subsidy. about 2,700 workers, nearly 40 per cent of the workforce, are to be laid off, saving the government dollars can1.5 billion in subsidies over five years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201990002,Canada,20,1990,North America,1,2,25.0,6.0,1990.0,25.0,6.0,1990.0,0.0,"Montreal, Quebec",,1000,unspecified,"political behavior, process",,,,ignore,,,,,,,"1. autonomy s cry revived in quebec the new york times, june 25, 1990, monday, late edition final, section a; page 3, column 4; foreign desk, 1014 words, by alessandra stanley, special to the new york times;","protestors were only identified as young people, and the gathering was spontaneous","'Montreal', 'Quebec'","'Montreal',Canada","'Quebec',Canada",,,,,,,,,,,,,,,,,,"Montréal, Québec",45.508867000000066,-73.55424199999999,Québec,46.81389200000007,-71.20807399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201990003,Canada,20,1990,North America,1,3,1.0,7.0,1990.0,1.0,7.0,1990.0,0.0,"Montreal, Quebec",,500,separatist parti quebecois,"political behavior, process",,,,ignore,,,,,,,"1. quebec protest after queen calls for unity the times, july 2, 1990, monday, overseas news, 703 words, from john best in ottawa 2. in canada, royal rejection ; quebecois protesters turn out for queen elizabeth s visit the washington post, july 2, 1990, monday, final edition, style; page b1, 633 words, william claiborne, washington post foreign service;","the queen, after calling on canadians to remain united, braved protesters and entered french speaking quebec yesterday to help celebrate canada s national holiday amid a constitutional crisis. although some quebecers had urged her not to come, the queen strolled around a park in hull, quebec, for half an hour, accompanied by brian mulroney, the federal prime minister, and royal canadian mounted police. about 500 nationalist quebecers, mourning the failure last week of the meech lake accord that would have recognised the province as a distinct society, staged a peaceful protest during the walk. the queen s appearance, part of a special celebration marking canada day, was further dampened by about 500 supporters of the separatist parti quebecois, some of them wrapped in the fleur de lis provincial flag, who staged a vocal but orderly demonstration outside the jacques cartier park in hull, a city of 65,000 located just across the ottawa river from the capital of ottawa.","'Montreal', 'Quebec'","'Montreal',Canada","'Quebec',Canada",,,,,,,,,,,,,,,,,,"Montréal, Québec",45.508867000000066,-73.55424199999999,Québec,46.81389200000007,-71.20807399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201990004,Canada,20,1990,North America,1,4,12.0,7.0,1990.0,6.0,9.0,1990.0,1.0,"Montreal, Quebec",,100s,mohawk indians,land farm issue,,,,accomodation,,,,,,,"1. indians gather as siege intensifies; armed confrontation in canada reflects growing militancy the washington post, july 19, 1990, thursday, final edition, first section; page a25, 1330 words, william claiborne, washington post foreign service 2. canada to acquire site of mohawk land dispute the washington post, july 20, 1990, friday, final edition, first section; page a13, 824 words, william claiborne, washington post foreign service 3. mohawks, army still at standoff; bridge to montreal reopens to traffic the washington post, september 7, 1990, friday, final edition, first section; page a17, 1199 words, william claiborne, washington post foreign service;","canada s federal government has agreed to acquire a tract of land that has been the subject of armed dispute between mohawk indians and officials of a montreal suburb, quebec s minister of indian affairs announced today. at a press conference in montreal, the province s indian affairs minister, john ciaccia, said federal officials had approved the purchase or expropriation if necessary of 55 acres of woodland that mohawks of the kahnesatake community claim as ancestral land. the suburban town of oka, 18 miles west of montreal, planned to use it for an addition to a golf course. ciaccia did not say the land would be recognized as mohawk ancestral territory, but it was clear from his description that the federal action would be intended to block the golf course extension that the indians have been fighting. during the last week and a half of the four month golf course dispute, about 200 mohawks, armed with automatic assault rifles and other weapons, have faced off against hundreds of quebec provincial police. a police officer was shot to death on july 11 when the police tried to remove a barricade erected on the disputed land. it is not clear whether the officer was shot by fellow police or armed indians.","'Montreal', 'Quebec'","'Montreal',Canada","'Quebec',Canada",,,,,,,,,,,,,,,,,,"Montréal, Québec",45.508867000000066,-73.55424199999999,Québec,46.81389200000007,-71.20807399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201990005,Canada,20,1990,North America,1,5,14.0,8.0,1990.0,15.0,8.0,1990.0,1.0,"Montreal, Quebec",,950,local residents,"political behavior, process",,,,crowd dispersal,arrests,accomodation,,,,,"1. dozens hurt in mohawk blockade protest the times, august 14, 1990, tuesday, overseas news, 254 words, from john best in ottawa 2. canadians clash with police near a mohawk reservation the new york times, august 15, 1990, wednesday, late edition final, section a; page 16, column 6; foreign desk, 165 words, reuters;",protests were directed against the state due to its refusal to use violence to clear mohawk indians blockades from a main road.,"'Montreal', 'Quebec'","'Montreal',Canada","'Quebec',Canada",,,,,,,,,,,,,,,,,,"Montréal, Québec",45.508867000000066,-73.55424199999999,Québec,46.81389200000007,-71.20807399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201990006,Canada,20,1990,North America,1,6,19.0,9.0,1990.0,19.0,9.0,1990.0,0.0,"Kahnawake Reservation near Montreal, Quebec",,200,mohawk indians,police brutality,,,,crowd dispersal,shootings,,,,,,"1. mohawks tear gassed in clash the washington post, september 19, 1990, wednesday, final edition, first section; page a17, 172 words, washington post foreign service;","canadian army troops today fired tear gas into a crowd of about 200 mohawk indians who attempted to block a combined army and quebec police search for illegal weapons on a small island off the kahnawake reservation near montreal. police said a soldier and two mohawks were injured slightly in a melee, and automatic weapons were fired into the air by the troops to disperse the crowd.","'Kahnawake Reservation', 'Montreal', 'Quebec'","'Kahnawake Reservation',Canada","'Montreal',Canada","'Quebec',Canada",,,,,,,,,,,,,,,,,"Reserve, Hudson Bay No. 394, Saskatchewan",52.46981400000004,-102.64552299999997,"Montréal, Québec",45.508867000000066,-73.55424199999999,Québec,46.81389200000007,-71.20807399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401990000,Cuba,40,1990,North America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411990001,Haiti,41,1990,North America,1,1,8.0,3.0,1990.0,11.0,3.0,1990.0,1.0,national,,1000s,students,police brutality,removal of politician,,,crowd dispersal,shootings,arrests,killings,accomodation,,,"1. students turn out to oust haitian president the toronto star, march 8, 1990, thursday, me2, news; pg. a1, 325 words, reuter 2. protesters press haitian ruler to resign the new york times, march 9, 1990, friday, late edition final, section a; page 3, column 4; foreign desk, 459 words, ap 3. haitians take to the streets again to call for military ruler s ouster the new york times, march 10, 1990, saturday, late edition final, section 1; page 5, column 1; foreign desk, 487 words, by joseph b. treaster, special to the new york times 4. haitian troops fire on students the toronto star, march 10, 1990, saturday, saturday first edition, news; pg. a3, 320 words, ap 5. protests spreading across haiti the toronto star, march 10, 1990, saturday, saturday second edition, news; pg. a3, 275 words, special 6. military leader resigns in haiti; election promised the new york times, march 11, 1990, sunday, late edition final, section 1; part 1, page 1, column 6; foreign desk, 2003 words, by joseph b. treaster, special to the new york times;","though the protests began with student demonstrations, they quickly became widespread throughout the haitian population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411990002,Haiti,41,1990,North America,1,2,12.0,7.0,1990.0,12.0,7.0,1990.0,0.0,Port au Prince,,1000s,political and labor leaders,"political behavior, process",,,,ignore,,,,,,,"1. return of paramilitary chief prompts strike call in haiti the new york times, july 11, 1990, wednesday, late edition final, section a; page 3, column 5; foreign desk, 642 words, by howard w. french, special to the new york times 2. protests in haiti shut businesses the new york times, july 12, 1990, thursday, late edition final, section a; page 13, column 5; foreign desk, 313 words, by howard w. french, special to the new york times 3. haitians on strike as officials return the toronto star, july 12, 1990, thursday, ont, news; pg. a22, 78 words, ap;","political and labor leaders called today for a general strike on wednesday to protest the return from exile of the former leader of the brutal paramilitary force built by the duvalier family to maintain its 30 year dictatorship. as minister of the interior and defense under jean claude duvalier, the returned exile, roger lafontant, is considered to have been the force behind the tontons macoute, the paramilitary group with a long record of using terror to derail democratic change in haiti. the duvalier family dictatorship was ousted in 1986.",'Port',"'Port',Haiti",,,,,,,,,,,,,,,,,,,"Port Rd, Caruthersville, Missouri, 63830",36.21513636049572,-89.68887753010705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421990001,Dominican Republic,42,1990,North America,1,1,16.0,7.0,1990.0,17.0,7.0,1990.0,1.0,"Santo Domingo, Santiago, Nagua and San Francisco de Macoris",,100s,opposition dominican liberation party,"political behavior, process",,,,crowd dispersal,shootings,killings,arrests,,,,"1. two wounded by dominican police in anti government protests the associated press, july 16, 1990, monday, am cycle, international news, 299 words 2. dominican police fire upon election protesters the associated press, july 17, 1990, tuesday, am cycle, international news, 277 words 3. one killed, 20 wounded in protests in dominican republic the associated press, july 18, 1990, wednesday, am cycle, international news, 323 words;","protesters exploded homemade bombs and battled riot police monday in demonstrations over president joaquin balaguer s disputed re election. two protesters suffered gunshot wounds in separate clashes with police in provincial cities, according to radio and newspaper reports. in the capital santo domingo, police in riot gear fired tear gas to disperse students who burned tires near the state university. no injuries were reported in the riot that reportedly involved students hurling garbage at police. the demonstrations were part of a 48 hour period of national mourning organized by juan bosch s opposition dominican liberation party to protest balaguer s victory over bosch in the may 16 general election.","'Santo Domingo', 'Santiago', 'Nagua', 'San Francisco', 'Macoris'","'Santo Domingo',Dominican Republic","'Santiago',Dominican Republic","'Nagua',Dominican Republic","'San Francisco',Dominican Republic","'Macoris',Dominican Republic",,,,,,,,,,,,,,,Santo Domingo,18.471850000000074,-69.89138999999994,Santiago,19.454040000000077,-70.70744999999994,Nagua,19.375810000000058,-69.84998999999993,"San Francisco, San Cristóbal",18.490860000000055,-70.12924999999996,Dominican Republic,18.89668483400004,-70.49003617099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
